"DISTANCE";"DURATION";"PROVIDER";"ROUTEID";"TIMESTAMP"
14685;684;"Here";1;"2016-03-05 16:07:31"
14677;697;"GoogleMaps";1;"2016-03-05 16:07:31"
14677;692;"GoogleMaps";1;"2016-03-05 16:12:31"
14685;682;"Here";1;"2016-03-05 16:12:31"
14685;676;"Here";1;"2016-03-05 16:17:31"
14677;690;"GoogleMaps";1;"2016-03-05 16:17:31"
14685;674;"Here";1;"2016-03-05 16:22:31"
14677;696;"GoogleMaps";1;"2016-03-05 16:22:31"
14685;677;"Here";1;"2016-03-05 16:27:31"
14677;695;"GoogleMaps";1;"2016-03-05 16:27:31"
14685;706;"Here";1;"2016-03-05 16:32:31"
14677;696;"GoogleMaps";1;"2016-03-05 16:32:31"
14685;701;"Here";1;"2016-03-05 16:37:31"
14677;698;"GoogleMaps";1;"2016-03-05 16:37:31"
14677;707;"GoogleMaps";1;"2016-03-05 16:42:31"
14685;711;"Here";1;"2016-03-05 16:42:31"
14685;697;"Here";1;"2016-03-05 16:47:31"
14677;713;"GoogleMaps";1;"2016-03-05 16:47:31"
14685;688;"Here";1;"2016-03-05 16:52:31"
14677;715;"GoogleMaps";1;"2016-03-05 16:52:31"
14685;682;"Here";1;"2016-03-05 16:57:31"
14677;714;"GoogleMaps";1;"2016-03-05 16:57:31"
14685;680;"Here";1;"2016-03-05 17:02:31"
14677;715;"GoogleMaps";1;"2016-03-05 17:02:31"
14685;675;"Here";1;"2016-03-05 17:07:31"
14677;710;"GoogleMaps";1;"2016-03-05 17:07:31"
14685;670;"Here";1;"2016-03-05 17:12:31"
14677;710;"GoogleMaps";1;"2016-03-05 17:12:31"
14685;669;"Here";1;"2016-03-05 17:17:31"
14677;707;"GoogleMaps";1;"2016-03-05 17:17:31"
14685;683;"Here";1;"2016-03-05 17:22:31"
14677;713;"GoogleMaps";1;"2016-03-05 17:22:31"
14685;691;"Here";1;"2016-03-05 17:27:31"
14677;709;"GoogleMaps";1;"2016-03-05 17:27:31"
14677;711;"GoogleMaps";1;"2016-03-05 17:32:31"
14685;679;"Here";1;"2016-03-05 17:32:31"
14685;676;"Here";1;"2016-03-05 17:37:31"
14677;717;"GoogleMaps";1;"2016-03-05 17:37:31"
14685;669;"Here";1;"2016-03-05 17:42:31"
14677;723;"GoogleMaps";1;"2016-03-05 17:42:31"
14677;722;"GoogleMaps";1;"2016-03-05 17:47:31"
14685;668;"Here";1;"2016-03-05 17:47:31"
14677;726;"GoogleMaps";1;"2016-03-05 17:52:31"
14685;668;"Here";1;"2016-03-05 17:52:31"
14685;667;"Here";1;"2016-03-05 17:57:31"
14677;717;"GoogleMaps";1;"2016-03-05 17:57:31"
14685;668;"Here";1;"2016-03-05 18:02:31"
14677;716;"GoogleMaps";1;"2016-03-05 18:02:31"
14677;728;"GoogleMaps";1;"2016-03-05 18:07:31"
14685;677;"Here";1;"2016-03-05 18:07:31"
14677;732;"GoogleMaps";1;"2016-03-05 18:12:31"
14685;678;"Here";1;"2016-03-05 18:12:31"
14685;684;"Here";1;"2016-03-05 18:17:31"
14677;728;"GoogleMaps";1;"2016-03-05 18:17:31"
14685;675;"Here";1;"2016-03-05 18:22:31"
14677;714;"GoogleMaps";1;"2016-03-05 18:22:31"
14685;675;"Here";1;"2016-03-05 18:27:31"
14677;714;"GoogleMaps";1;"2016-03-05 18:27:31"
14677;716;"GoogleMaps";1;"2016-03-05 18:32:31"
14685;672;"Here";1;"2016-03-05 18:32:31"
14685;667;"Here";1;"2016-03-05 18:37:31"
14677;715;"GoogleMaps";1;"2016-03-05 18:37:31"
14685;673;"Here";1;"2016-03-05 18:42:31"
14677;710;"GoogleMaps";1;"2016-03-05 18:42:31"
14685;671;"Here";1;"2016-03-05 18:47:31"
14677;709;"GoogleMaps";1;"2016-03-05 18:47:31"
14685;668;"Here";1;"2016-03-05 18:52:31"
14677;708;"GoogleMaps";1;"2016-03-05 18:52:31"
14677;709;"GoogleMaps";1;"2016-03-05 18:57:31"
14685;668;"Here";1;"2016-03-05 18:57:31"
14685;668;"Here";1;"2016-03-05 19:02:31"
14677;714;"GoogleMaps";1;"2016-03-05 19:02:31"
14685;666;"Here";1;"2016-03-05 19:20:27"
14677;792;"GoogleMaps";1;"2016-03-05 19:20:27"
14685;666;"Here";1;"2016-03-05 19:25:27"
14677;786;"GoogleMaps";1;"2016-03-05 19:25:27"
14677;779;"GoogleMaps";1;"2016-03-05 19:30:27"
14685;666;"Here";1;"2016-03-05 19:30:27"
14685;665;"Here";1;"2016-03-05 19:35:27"
14677;690;"GoogleMaps";1;"2016-03-05 19:35:27"
14677;687;"GoogleMaps";1;"2016-03-05 19:40:27"
14685;665;"Here";1;"2016-03-05 19:40:27"
14685;663;"Here";1;"2016-03-05 19:45:27"
14677;686;"GoogleMaps";1;"2016-03-05 19:45:27"
14677;679;"GoogleMaps";1;"2016-03-05 19:50:27"
14685;688;"Here";1;"2016-03-05 19:50:27"
14685;723;"Here";1;"2016-03-05 19:55:27"
14677;681;"GoogleMaps";1;"2016-03-05 19:55:27"
14685;700;"Here";1;"2016-03-05 20:00:27"
14677;679;"GoogleMaps";1;"2016-03-05 20:00:27"
14677;681;"GoogleMaps";1;"2016-03-05 20:05:27"
14685;714;"Here";1;"2016-03-05 20:05:27"
14685;722;"Here";1;"2016-03-05 20:10:27"
14677;690;"GoogleMaps";1;"2016-03-05 20:10:27"
14685;699;"Here";1;"2016-03-05 20:15:27"
14677;690;"GoogleMaps";1;"2016-03-05 20:15:27"
14677;696;"GoogleMaps";1;"2016-03-05 20:20:28"
14685;694;"Here";1;"2016-03-05 20:20:28"
14685;673;"Here";1;"2016-03-05 20:25:27"
14677;697;"GoogleMaps";1;"2016-03-05 20:25:27"
14685;668;"Here";1;"2016-03-05 20:30:27"
14677;697;"GoogleMaps";1;"2016-03-05 20:30:27"
14677;691;"GoogleMaps";1;"2016-03-05 20:35:27"
14685;664;"Here";1;"2016-03-05 20:35:27"
14677;682;"GoogleMaps";1;"2016-03-05 20:40:27"
14685;661;"Here";1;"2016-03-05 20:40:27"
14685;672;"Here";1;"2016-03-05 20:45:27"
14677;684;"GoogleMaps";1;"2016-03-05 20:45:27"
14677;700;"GoogleMaps";1;"2016-03-05 20:50:27"
14685;666;"Here";1;"2016-03-05 20:50:27"
14685;697;"Here";1;"2016-03-05 20:55:27"
14677;724;"GoogleMaps";1;"2016-03-05 20:55:27"
14685;694;"Here";1;"2016-03-05 21:00:27"
14677;716;"GoogleMaps";1;"2016-03-05 21:00:27"
14685;704;"Here";1;"2016-03-05 21:05:27"
14677;713;"GoogleMaps";1;"2016-03-05 21:05:27"
14677;707;"GoogleMaps";1;"2016-03-05 21:10:27"
14685;670;"Here";1;"2016-03-05 21:10:27"
14685;706;"Here";1;"2016-03-05 21:15:27"
14677;703;"GoogleMaps";1;"2016-03-05 21:15:27"
14685;670;"Here";1;"2016-03-05 21:20:27"
14677;700;"GoogleMaps";1;"2016-03-05 21:20:27"
14677;699;"GoogleMaps";1;"2016-03-05 21:25:27"
14685;694;"Here";1;"2016-03-05 21:25:27"
14677;696;"GoogleMaps";1;"2016-03-05 21:30:27"
14685;697;"Here";1;"2016-03-05 21:30:27"
14685;684;"Here";1;"2016-03-05 21:35:27"
14677;689;"GoogleMaps";1;"2016-03-05 21:35:27"
14685;681;"Here";1;"2016-03-05 21:40:27"
14677;690;"GoogleMaps";1;"2016-03-05 21:40:27"
14685;690;"Here";1;"2016-03-05 21:45:27"
14677;689;"GoogleMaps";1;"2016-03-05 21:45:27"
14685;695;"Here";1;"2016-03-05 21:50:27"
